,bvdid,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,type_of_entity,category_of_the_company,Deal_number,"Deal value
m EUR",Target country code,Acquiror country code,Acquired stake (%),Final stake (%)
0,RU05015331,2007,,0.0,0.0,94.0,Corporate,Very large company,16.0,,RU,RU,14.34,39.83000
1,RU05757676,2007,,,,,,,30.0,,RU,RU,4.67,10.65000
2,RU05757676,2007,,,,,,,8574.0,,RU,RU,4.72,5.37000
3,RU33556474,2007,805077000.0,0.78,13450000.0,,Corporate,Very large company,34.0,,RU,RU,25.0,25.00000
4,RU00126126,2007,,,,,,,44.0,,RU,RU,25.0,25.00000
5,RU00126126,2008,,,,,,,273.0,,RU,RU,15.2,15.20000
6,RU00126126,2009,,,,,,,301.0,,RU,RU,19.8,35.00000
7,RU00126126,2008,,,,,,,402.0,,RU,RU,10.0,10.00000
8,AU004458404,2007,7477077000.0,0.23,46872000.0,51677.0,Corporate,Very large company,45.0,,AU,AU,19.9,19.90000
9,AU004458404,2007,11122211629.0,0.23,46871838.0,51677.0,Corporate,Very large company,45.0,,AU,AU,19.9,19.90000
10,AU004458404,2007,8222271000.0,0.23,46872000.0,51677.0,Corporate,Very large company,45.0,,AU,AU,19.9,19.90000
11,AU004458404,2008,15771367000.0,0.53,220594000.0,105785.0,Corporate,Very large company,5319.0,12.35*,AU,AU,10.9,10.90000
12,AU004458404,2008,11959479919.0,0.56,220593627.0,,Corporate,Very large company,5319.0,12.35*,AU,AU,10.9,10.90000
13,AU004458404,2008,10148744000.0,0.57,220594000.0,105785.0,Corporate,Very large company,5319.0,12.35*,AU,AU,10.9,10.90000
14,JP6030001004272,2007,240730000.0,0.0,0.0,1745.0,Corporate,Very large company,58.0,,JP,JP,12.7,12.70000
15,RU05268977,2007,,,,,,,83.0,,RU,RU,5.0,5.00000
16,FR379067390,2008,,0.0,0.0,520.0,Corporate,Large company,93.0,,FR,FR,17.5,17.50000
17,SE5564739224,2008,2182243.0,0.0,0.0,3.0,Corporate,Large company,95.0,,SE,SE,20.0,20.00000
18,SE5564739224,2008,,0.0,0.0,3.0,Corporate,Large company,95.0,,SE,SE,20.0,20.00000
19,FR622019503,2007,21850000.0,0.0,0.0,1056.0,Mutual and pension fund/Nominee/Trust/Trustee,Very large company,97.0,,FR,FR,26.0,32.00000
20,AU090059564,2004,7675695.0,0.0,0.0,11.0,Corporate,Very large company,99.0,,AU,AU,46.5,46.50000
21,AU090059564,2004,7675695.0,0.0,0.0,11.0,Corporate,Very large company,100.0,,AU,AU,3.0,49.50000
22,IT11957540153,2008,1128000000.0,0.0,0.0,,Corporate,Very large company,107.0,,IT,IT,2.0,20.00000
23,DE5170123491,2008,318769000.0,0.0,0.0,4565.0,Corporate,Very large company,108.0,,DE,DE,48.65,48.65000
24,DE5170123491,2008,318769000.0,0.0,0.0,4565.0,Corporate,Very large company,189.0,,DE,DE,30.0,30.00000
25,DE5170123491,2016,835555000.0,0.0,0.0,7897.0,Corporate,Very large company,1060.0,107.50*,DE,DE,9.8,9.80000
26,DE5170123491,2017,1253674000.0,0.0,0.0,9414.0,Corporate,Very large company,1359.0,61.21,DE,DE,1.78,30.95000
27,DE5170123491,2017,1416399000.0,0.0,0.0,,Corporate,Very large company,1359.0,61.21,DE,DE,1.78,30.95000
28,DE2151308699,2008,1607000.0,0.0,0.0,15.0,Financial company,Very large company,110.0,,DE,DE,12.5,12.50000
29,DE6210013099,2007,,,,,,,113.0,,DE,DE,24.9,24.90000
30,AU122262819,2006,,,,,,,114.0,,AU,AU,20.0,20.00000
31,ESA83028035,2008,1185532000.0,0.0,0.0,1748.0,Corporate,Very large company,122.0,,ES,ES,49.0,49.00000
32,JP8120001072952,2008,6317057.0,2.52,1391759.0,371.0,Corporate,Very large company,139.0,,JP,JP,20.0,20.00000
33,RU07530238,2008,,0.0,0.0,7509.0,Corporate,Very large company,142.0,,RU,RU,25.1,25.10000
34,RU07502348,2007,,0.0,0.0,2900.0,Corporate,Very large company,143.0,,RU,RU,34.0,34.00000
35,RU17230282,2007,4579757679.0,0.0,0.0,,Corporate,Very large company,144.0,,RU,RU,49.017,49.01700
36,RU17230282,2004,4020313009.0,0.0,0.0,546000.0,Corporate,Very large company,8279.0,,RU,RU,49.0,49.00000
37,RU17230282,2004,4020313009.0,0.0,0.0,546000.0,Corporate,Very large company,8280.0,,RU,RU,49.0,49.00000
38,RU17230282,2007,4579757679.0,0.0,0.0,,Corporate,Very large company,8573.0,,RU,RU,10.54,10.54000
39,RU31074127,2008,,,,,,,146.0,,RU,RU,24.5,24.50000
40,RU31074127,2008,,,,,,,152.0,,RU,RU,9.43,33.93000
41,NL02045200,2008,4921000000.0,0.23,33000000.0,36702.0,Corporate,Very large company,151.0,,NL,NL,41.0,41.00000
42,NL02045200,2012,3774000000.0,0.0,0.0,26156.0,Corporate,Very large company,735.0,,NL,NL,12.5,12.50000
43,DE2011025844,2008,14339000.0,0.0,0.0,107.0,Corporate,Very large company,163.0,,DE,DE,25.1,25.10000
44,JP1011001025439,2007,3415000.0,0.0,0.0,123.0,Corporate,Very large company,171.0,,JP,JP,3.09,10.39000
45,JP1011001025439,2017,6410318.0,0.0,0.0,235.0,Corporate,Very large company,6240.0,0.71*,JP,JP,2.64,10.15000
46,JP1011001025439,2017,6401212.0,0.0,0.0,209.0,Corporate,Very large company,6240.0,0.71*,JP,JP,2.64,10.15000
47,JP3010401036044,2007,,0.0,0.0,162.0,Corporate,Very large company,188.0,,JP,JP,4.357,10.45000
48,JP3010401036044,2014,64641623.0,0.0,0.0,266.0,Corporate,Very large company,2108.0,6.25*,JP,JP,30.0,30.00000
49,JP3010401036044,2014,30586657.0,0.0,0.0,110.0,Corporate,Very large company,2108.0,6.25*,JP,JP,30.0,30.00000
50,JP3010401036044,2007,,0.0,0.0,162.0,Corporate,Very large company,3034.0,26.84*,JP,JP,21.113,32.89500
51,JP3010401036044,2017,97192834.0,0.0,0.0,304.0,Corporate,Very large company,7328.0,7.56,JP,JP,4.82,5.21000
52,JP3010401036044,2017,,0.0,0.0,96.0,Corporate,Very large company,7328.0,7.56,JP,JP,4.82,5.21000
53,RU01386148,2008,,0.0,0.0,16.0,Corporate,Very large company,195.0,,RU,RU,25.01,25.01000
54,RU01386148,2008,,0.0,0.0,15729.0,Corporate,Very large company,195.0,,RU,RU,25.01,25.01000
55,RU01386148,2010,159235606.0,0.0,0.0,,Corporate,Very large company,434.0,,RU,RU,24.0,24.00000
56,RU01386148,2010,,0.0,0.0,17036.0,Corporate,Very large company,434.0,,RU,RU,24.0,24.00000
57,FI05925096,2008,,,,,,,196.0,,FI,FI,1.0,4.90000
58,FI05925096,2008,,,,,,,197.0,,FI,FI,1.0,5.27000
59,FI05925096,2012,190800000.0,0.0,0.0,1427.0,Corporate,Very large company,694.0,,FI,FI,20.0,20.00000
60,AU083194763,2008,6446000.0,0.0,0.0,703.0,Financial company,Very large company,199.0,,AU,AU,1.0,36.00000
61,IN0005811508,2008,,,,,,,201.0,,IN,IN,12.45,12.45000
62,JP000033455JPN,2008,5042642.0,0.0,0.0,580.0,Corporate,Large company,211.0,,JP,JP,5.3,5.30000
63,RU94129941,2008,,0.0,0.0,10085.0,Corporate,Very large company,213.0,,RU,RU,25.0,25.00000
64,JP3010001035099,2008,35646217.0,0.27,8582963.0,3264.0,Corporate,Very large company,223.0,,JP,JP,30.0,30.00000
65,RU07506010,2008,,,,,,,256.0,,RU,RU,30.0,30.00000
66,RU74287158,2008,,,,,,,257.0,,RU,RU,28.32,47.87000
67,RU05030856,2008,77694225.0,0.0,0.0,18759.0,Corporate,Very large company,262.0,,RU,RU,19.27,19.27000
68,RU05030856,2008,77694225.0,0.0,0.0,18759.0,Corporate,Very large company,287.0,,RU,RU,19.27,38.54000
69,RU76848690,2008,,0.0,0.0,3792.0,Corporate,Very large company,267.0,,RU,RU,32.0,32.00000
70,RU72807642,2008,,0.0,0.0,343.0,Corporate,Very large company,268.0,,RU,RU,26.0,26.00000
71,RU04616815,2008,,0.0,0.0,3606.0,Corporate,Very large company,270.0,,RU,RU,2.01,6.17000
72,RU04616815,2008,,0.0,0.0,3606.0,Corporate,Very large company,271.0,,RU,RU,4.32,5.24000
73,RU04616815,2008,,0.0,0.0,3606.0,Corporate,Very large company,280.0,,RU,RU,2.79,5.65000
74,RU04616815,2011,,0.0,0.0,2040.0,Corporate,Very large company,585.0,,RU,RU,4.53,16.12000
75,RU04616815,2011,,0.0,0.0,2040.0,Corporate,Very large company,596.0,,RU,RU,3.31,20.95000
76,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,288.0,,RU,RU,27.45,27.45000
77,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,288.0,,RU,RU,27.45,27.45000
78,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,289.0,,RU,RU,18.93,18.93000
79,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,289.0,,RU,RU,18.93,18.93000
80,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,290.0,,RU,RU,45.21,45.21000
81,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,290.0,,RU,RU,45.21,45.21000
82,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,291.0,,RU,RU,33.33,33.33000
83,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,291.0,,RU,RU,33.33,33.33000
84,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,294.0,,RU,RU,25.0,25.00000
85,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,294.0,,RU,RU,25.0,25.00000
86,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,295.0,,RU,RU,49.0,49.00000
87,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,295.0,,RU,RU,49.0,49.00000
88,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,296.0,,RU,RU,21.27,21.27000
89,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,296.0,,RU,RU,21.27,21.27000
90,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,297.0,,RU,RU,23.58,23.58000
91,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,297.0,,RU,RU,23.58,23.58000
92,RU56947007,2008,706332391.0,0.46,8755479.0,11181.0,Corporate,Very large company,298.0,,RU,RU,32.18,32.18000
93,RU56947007,2008,,0.0,0.0,,Corporate,Very large company,298.0,,RU,RU,32.18,32.18000
94,RU56947007,2010,1392182573.0,0.64,18530037.0,22000.0,Corporate,Very large company,1373.0,60.20*,RU,RU,27.02,27.45000
95,RU56947007,2010,,0.0,0.0,21965.0,Corporate,Very large company,1373.0,60.20*,RU,RU,27.02,27.45000
96,RU56947007,2017,2006980417.0,0.0,0.0,,Corporate,Very large company,3900.0,12.64*,RU,RU,0.54,0.54000
97,RU56947007,2017,1987834529.0,0.0,0.0,21876.0,Corporate,Very large company,3900.0,12.64*,RU,RU,0.54,0.54000
98,RU56947007,2017,2006980417.0,0.0,0.0,,Corporate,Very large company,8888.0,231.47*,RU,RU,4.49,18.57000
99,RU56947007,2017,1987834529.0,0.0,0.0,21876.0,Corporate,Very large company,8888.0,231.47*,RU,RU,4.49,18.57000
100,DE6050158670,2009,-560000.0,0.0,0.0,,Financial company,Very large company,293.0,,DE,DE,1.0,49.90000
101,RU01387320,2009,,,,,,,311.0,,RU,RU,49.06,49.06000
102,RU01387320,2012,20268135.0,0.0,0.0,1080.0,Corporate,Very large company,650.0,,RU,RU,30.0,30.00000
103,RU73217687,2009,,0.0,0.0,289.0,Corporate,Very large company,322.0,,RU,RU,15.4,15.40000
104,RU73217687,2010,,0.0,0.0,274.0,Corporate,Very large company,6414.0,0.57*,RU,RU,7.73,7.73000
105,DE6290183375,2009,,,,,,,327.0,,DE,DE,30.0,30.00000
106,RU01126016,2009,,,,,,,328.0,,RU,RU,25.0,25.00000
107,RU00102504,2009,,0.0,0.0,961.0,Corporate,Very large company,330.0,,RU,RU,11.96,11.96000
108,RU07504910,2009,60133955.0,0.74,6723586.0,,Corporate,Very large company,331.0,,RU,RU,22.0,22.00000
109,RU07504910,2010,145108255.0,0.67,8432952.0,,Corporate,Very large company,489.0,,RU,RU,10.0,10.00000
110,DE3410000859,2009,8471000.0,9.16,6659000.0,773.0,Corporate,Very large company,334.0,,DE,DE,25.0,25.00000
111,DE3410000859,2009,9400000.0,9.16,6659000.0,627.0,Corporate,Very large company,334.0,,DE,DE,25.0,25.00000
112,DE3410000859,2009,6602173.0,9.25,5037124.0,371.0,Corporate,Very large company,334.0,,DE,DE,25.0,25.00000
113,DE3410000859,2009,8471000.0,9.16,6659000.0,773.0,Corporate,Very large company,6827.0,0.28*,DE,DE,5.482,5.48200
114,DE3410000859,2009,9400000.0,9.16,6659000.0,627.0,Corporate,Very large company,6827.0,0.28*,DE,DE,5.482,5.48200
115,DE3410000859,2009,6602173.0,9.25,5037124.0,371.0,Corporate,Very large company,6827.0,0.28*,DE,DE,5.482,5.48200
116,DE4090001198,2008,,,,,,,337.0,,DE,DE,25.0,37.45000
117,DE4090001198,2007,,,,,,,338.0,,DE,DE,12.45,12.45000
118,DE4090001198,2011,108700000.0,0.0,0.0,1598.0,Corporate,Very large company,568.0,,DE,DE,24.9,24.90000
119,DE4090001198,2004,,,,,,,4880.0,4.3,DE,DE,49.9,49.90000
120,RU01158832,2009,343173426.0,0.0,0.0,,Corporate,Very large company,354.0,,RU,RU,7.336,14.79400
121,RU01158832,2011,,,,,,,539.0,,RU,RU,23.476,36.80300
122,RU75037682,2009,,0.0,0.0,668.0,Corporate,Very large company,370.0,,RU,RU,19.983,19.98300
123,RU75037682,2011,,0.0,0.0,668.0,Corporate,Very large company,531.0,,RU,RU,24.0,24.00000
124,RU75037682,2009,,0.0,0.0,668.0,Corporate,Very large company,6944.0,0.23,RU,RU,7.0,7.00000
125,RU00105348,2009,,0.0,0.0,7716.0,Corporate,Very large company,374.0,,RU,RU,15.0,15.00000
126,RU79476409,2009,,0.0,0.0,2.0,Corporate,Very large company,381.0,,RU,RU,5.0,9.47000
127,RU79476409,2009,,0.0,0.0,2.0,Corporate,Very large company,438.0,,RU,RU,6.17,7.58000
128,RU79476409,2010,,0.0,0.0,2.0,Corporate,Very large company,538.0,,RU,RU,2.0,10.00000
129,RU79476409,2011,,0.0,0.0,2.0,Corporate,Very large company,586.0,,RU,RU,7.0,17.01000
130,RU79476409,2012,,0.0,0.0,2.0,Corporate,Very large company,722.0,,RU,RU,12.0,16.72000
131,RU79476409,2010,,0.0,0.0,2.0,Corporate,Very large company,5902.0,1.04*,RU,RU,8.0,8.00000
132,RU03892648,2009,,,,,,,386.0,,RU,RU,16.3,16.30000
133,RU98253307,2009,,0.0,0.0,179.0,Corporate,Very large company,390.0,,RU,RU,6.67,6.67000
134,RU98253307,2009,,0.0,0.0,179.0,Corporate,Very large company,391.0,,RU,RU,5.99,5.99000
135,RU98253307,2009,,0.0,0.0,179.0,Corporate,Very large company,392.0,,RU,RU,16.87,16.87000
136,RU98253307,2011,417777571.0,0.41,16083140.0,,Corporate,Very large company,718.0,,RU,RU,14.48,32.37000
137,RU98253307,2011,,0.0,0.0,233.0,Corporate,Very large company,718.0,,RU,RU,14.48,32.37000
138,RU98253307,2007,,0.0,0.0,,Corporate,Very large company,725.0,,RU,RU,25.5,25.50000
139,RU98253307,2007,,0.0,0.0,,Corporate,Very large company,8541.0,,RU,RU,0.97,30.60000
140,RU98253307,2007,,0.0,0.0,,Corporate,Very large company,8555.0,,RU,RU,7.6,38.20000
141,RU05753490,2009,,0.0,0.0,94863.0,Corporate,Very large company,393.0,,RU,RU,20.0,20.00000
142,DE7330486250,2009,102000.0,0.0,0.0,12.0,Corporate,Very large company,398.0,,DE,DE,1.0,14.17000
143,RU07515316,2009,,,,,,,406.0,,RU,RU,24.999,44.99900
144,GB00824821,2009,341751686.0,0.0,0.0,14528.0,Corporate,Very large company,407.0,,GB,GB,49.0,49.00000
145,RU00136219,2010,,,,,,,414.0,,RU,RU,49.0,49.00000
146,SE5560649484,2010,,,,,,,446.0,,SE,SE,28.0,28.00000
147,RU00480046,2009,,0.0,0.0,,Corporate,Very large company,465.0,,RU,RU,44.0,44.00000
148,RU03250016,2009,,,,,,,491.0,,RU,RU,28.39,28.39000
149,RU04784332,2010,,,,,,,496.0,,RU,RU,18.75,18.75000
150,CA31298NC,2010,21296703.0,0.0,0.0,,Financial company,Very large company,497.0,,CA,CA,20.0,40.00000
151,RU07541118,2010,,,,,,,501.0,,RU,RU,9.07,9.07000
152,RU44955556,2010,,0.0,0.0,1200.0,Corporate,Very large company,509.0,,RU,RU,36.0,36.00000
153,RU59107064,2011,,,,,,,513.0,,RU,RU,44.677,44.67700
154,RU59107064,2003,,,,,,,1243.0,75.83,RU,RU,22.84,37.84000
155,RU59107064,2005,,,,,,,8355.0,,RU,RU,34.0,34.00000
156,RU59107064,2005,,,,,,,8356.0,,RU,RU,16.01,35.91000
157,RU59107064,2005,,,,,,,8392.0,,RU,RU,5.0,5.00000
158,RU01142788,2010,,,,,,,514.0,,RU,RU,5.0,25.00000
159,RU80794592,2010,,0.0,0.0,2.0,Corporate,Medium sized company,517.0,,RU,RU,11.82,15.54000
160,RU80794592,2011,,0.0,0.0,2.0,Corporate,Medium sized company,638.0,,RU,RU,10.0,18.80000
161,RU80794592,2010,,0.0,0.0,2.0,Corporate,Medium sized company,3003.0,2.09*,RU,RU,18.0,18.13000
162,FR351571757,2010,80992000.0,0.0,0.0,3435.0,Corporate,Very large company,524.0,,FR,FR,24.5,49.00000
163,FR351571757,2007,75403000.0,0.0,0.0,3072.0,Corporate,Very large company,8569.0,,FR,FR,24.5,24.50000
164,RU45599566,2011,62491697.0,0.0,0.0,,Corporate,Very large company,569.0,,RU,RU,15.97,15.97000
165,RU45599566,2008,87104304.0,0.0,0.0,,Corporate,Very large company,3198.0,22.56*,RU,RU,15.0,15.00000
166,RU45599566,2002,,,,,,,8033.0,,RU,RU,16.89,41.87000
167,RU05744544,2010,,,,,,,574.0,,RU,RU,19.0,19.00000
168,RU05744544,2010,,,,,,,575.0,,RU,RU,19.0,19.00000
169,RU05786040,2010,,0.0,0.0,4725.0,Corporate,Very large company,578.0,,RU,RU,9.0,9.00000
170,RU76462766,2012,237417016.0,0.0,0.0,,Corporate,Very large company,579.0,,RU,RU,49.99,49.99000
171,RU76462766,2012,,0.0,0.0,148.0,Corporate,Very large company,579.0,,RU,RU,49.99,49.99000
172,ESA08000424,2011,,,,,,,588.0,,ES,ES,35.0,35.00000
173,RU52686811,2010,3781984350.0,0.0,0.0,39911.0,Corporate,Very large company,589.0,,RU,RU,15.0,40.00000
174,RU52686811,2010,,0.0,0.0,18947.0,Corporate,Very large company,589.0,,RU,RU,15.0,40.00000
175,RU52686811,2010,3781984350.0,0.0,0.0,39911.0,Corporate,Very large company,8982.0,173.39*,RU,RU,8.522,8.67500
176,RU52686811,2010,,0.0,0.0,18947.0,Corporate,Very large company,8982.0,173.39*,RU,RU,8.522,8.67500
177,FI02147209,2011,14289000.0,0.0,0.0,484.0,Corporate,Very large company,601.0,,FI,FI,1.0,10.00400
178,FI02147209,2009,,,,,,,4048.0,1.87*,FI,FI,1.165,1.50000
179,FI02147209,2009,,,,,,,4881.0,4.30*,FI,FI,3.66,3.66000
180,FI02147209,2010,15295000.0,0.0,0.0,214.0,Corporate,Very large company,4973.0,4.04*,FI,FI,2.14,5.95000
181,GB06281278,2009,1377227.0,0.0,0.0,331.0,Corporate,Very large company,604.0,,GB,GB,23.9,23.90000
182,PL142684184,2011,,,,,,,606.0,,PL,PL,8.62,8.62000
183,SE5566752068,2011,,,,,,,621.0,,SE,SE,21.7,21.70000
184,SE5566752068,2014,,,,,,,6099.0,0.82,SE,SE,22.5,23.80000
185,RU00467146,2011,,0.0,0.0,3849.0,Corporate,Very large company,639.0,,RU,RU,7.69,27.32000
186,RU00467146,2005,,,,,,,6351.0,0.61,RU,RU,19.43,19.43000
187,RU03144484,2011,,,,,,,645.0,,RU,RU,26.71,26.71000
188,PL634404229,2010,,,,,,,656.0,,PL,PL,6.333,6.33300
189,PL634404229,2010,,,,,,,6181.0,0.76*,PL,PL,4.68,15.98000
190,FR999990005,2012,196526000.0,0.01,320000.0,14500.0,Mutual and pension fund/Nominee/Trust/Trustee,Very large company,667.0,,FR,FR,34.0,34.00000
191,RU00044428,2012,15521385878.0,0.75,573941922.0,,Corporate,Very large company,698.0,,RU,RU,6.0,6.00000
192,RU00044428,2012,,0.53,346023670.0,2185.0,Corporate,Very large company,698.0,,RU,RU,6.0,6.00000
193,RU00044428,2005,,,,,,,8935.0,197.06,RU,RU,25.94,25.94000
194,RU00044428,2013,21091419561.0,0.36,376632492.0,,Corporate,Very large company,9033.0,149.19,RU,RU,20.0,40.00000
195,RU00044428,2013,,0.56,436225235.0,3063.0,Corporate,Very large company,9033.0,149.19,RU,RU,20.0,40.00000
196,FI01744458,2012,21437000.0,0.47,503000.0,829.0,Corporate,Very large company,702.0,,FI,FI,19.2,19.20000
197,RU76854667,2010,,0.0,0.0,659.0,Corporate,Very large company,707.0,,RU,RU,8.5,8.50000
198,RU76854667,2010,,0.0,0.0,659.0,Corporate,Very large company,3286.0,20.79,RU,RU,8.5,8.50000
199,ESA58389123,2012,,0.0,0.0,11418.0,Corporate,Very large company,710.0,,ES,ES,40.0,40.00000
200,RU71145423,2012,,,,,,,728.0,,RU,RU,24.21,24.21000
201,RU71145423,2010,,0.0,0.0,404.0,Corporate,Very large company,4586.0,1.27*,RU,RU,23.69,23.69000
202,RU71145423,2010,,0.0,0.0,404.0,Corporate,Very large company,6526.0,0.47*,RU,RU,6.181,6.18100
203,RU71145423,2010,,0.0,0.0,404.0,Corporate,Very large company,6703.0,0.35*,RU,RU,4.728,7.94800
204,RU71145423,2009,,0.0,0.0,351.0,Corporate,Very large company,6754.0,0.32,RU,RU,19.29,19.29000
205,RU71145423,2010,,0.0,0.0,404.0,Corporate,Very large company,6972.0,0.21*,RU,RU,3.532,5.97800
206,DE3090033093,2011,,,,,,,730.0,,DE,DE,25.5,25.50000
207,RU04001232,2006,,,,,,,742.0,,RU,RU,33.62,33.62000
208,RU01130489,2012,234283616.0,0.0,0.0,,Corporate,Very large company,750.0,,RU,RU,25.0,25.00000
209,RU01130489,2012,98484865.0,0.0,0.0,6803.0,Corporate,Very large company,750.0,,RU,RU,25.0,25.00000
210,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,816.0,,RU,RU,25.002,25.00200
211,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,820.0,,RU,RU,25.5,25.50000
212,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,825.0,,RU,RU,25.5,25.50000
213,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,826.0,,RU,RU,25.54,25.54000
214,RU00040778,2008,35185067241.0,0.57,487958999.0,456000.0,Corporate,Very large company,1335.0,64.71*,RU,RU,25.0,25.00000
215,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,2294.0,5.48*,RU,RU,25.49,25.49000
216,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,2325.0,5.34*,RU,RU,25.5,25.50000
217,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,2445.0,3.01*,RU,RU,15.94,15.94000
218,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,2607.0,2.68*,RU,RU,22.7,22.70000
219,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,2688.0,2.57,RU,RU,25.5,25.50000
220,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,3877.0,12.86,RU,RU,35.0,35.00000
221,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,4680.0,4.92*,RU,RU,24.4,24.40000
222,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,4916.0,4.22*,RU,RU,25.5,25.50000
223,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,4972.0,4.04*,RU,RU,25.5,25.50000
224,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,5223.0,3.50*,RU,RU,21.39,21.39000
225,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,5229.0,3.48*,RU,RU,25.0,25.00000
226,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,5640.0,9.71*,RU,RU,26.65,26.65000
227,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,5808.0,1.17*,RU,RU,25.5,25.50000
228,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,5865.0,1.11*,RU,RU,25.5,25.50000
229,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,5890.0,1.06,RU,RU,38.0,38.00000
230,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,6038.0,0.90*,RU,RU,25.5,25.50000
231,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,6298.0,0.65*,RU,RU,25.5,25.50000
232,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,7306.0,7.69*,RU,RU,25.5,25.50000
233,RU00040778,2013,47014457970.0,0.32,370827921.0,429000.0,Corporate,Very large company,7569.0,0.12*,RU,RU,25.5,25.50000
234,RU00040778,2005,17427808000.0,0.47,192743000.0,402000.0,Corporate,Very large company,8741.0,471.76,RU,RU,3.0,3.00000
235,FI19447574,2012,39000000.0,1.28,4100000.0,2851.0,Corporate,Very large company,827.0,,FI,FI,20.0,20.00000
236,FI19447574,2009,49500000.0,0.29,900000.0,2857.0,Corporate,Very large company,5760.0,1.22*,FI,FI,1.49,32.14000
237,IN31438FI,2008,44368077.0,3.36,6423639.0,,Corporate,Very large company,843.0,,IN,IN,26.0,26.00000
238,JP1010001068118,2009,-369565297.0,0.0,0.0,191.0,Bank,Very large company,849.0,,JP,JP,13.6,13.60000
239,JP1020001039274,2009,3177126.0,13.03,2874525.0,122.0,Corporate,Very large company,853.0,,JP,JP,8.001,10.20200
240,JP2010401034734,2009,12139465.0,2.72,4176228.0,1758.0,Corporate,Very large company,859.0,,JP,JP,10.06,10.06000
241,JP2010401034734,2009,12139465.0,2.72,4176228.0,1758.0,Corporate,Very large company,6239.0,0.71,JP,JP,9.96,20.02000
242,MY44094-M,2010,3779743.0,0.0,0.0,,Corporate,Very large company,864.0,,MY,MY,15.0,45.00000
243,CN53462PC,2011,,,,,,,865.0,,CN,CN,30.0,30.00000
244,IN34303FI,2010,3181215.0,0.0,0.0,,Corporate,Very large company,866.0,,IN,IN,16.38,16.38000
245,AU126990832,2010,,,,,,,867.0,,AU,AU,25.0,25.00000
246,AU126990832,2008,,,,,,,6187.0,0.75,AU,AU,25.0,25.00000
247,AU126990832,2008,,,,,,,6349.0,0.62,AU,AU,25.0,25.00000
248,AU126990832,2008,,,,,,,6455.0,0.53,AU,AU,25.0,25.00000
249,AU126990832,2010,,,,,,,6629.0,0.4,AU,AU,25.0,25.00000
250,AU126990832,2008,,,,,,,6788.0,0.3,AU,AU,25.0,25.00000
251,AU126990832,2008,,,,,,,6842.0,0.27*,AU,AU,25.0,25.00000
252,AU112320251,2011,,,,,,,876.0,,AU,AU,6.625,11.00000
253,AU112320251,2011,,,,,,,5957.0,0.99,AU,AU,4.157,15.23000
